Description,Rate,Titles,Vote_count,Year
Drama. Road Movie. Amistad,"7,7",Alicia en las ciudades ,3.086 votos,1974
Comedia. Romance. Gran Depresión. Comedia romántica. Comedia sofisticada,"7,7",Al servicio de las damas ,3.059 votos,1936
Documental. Enfermedad. Medicina,"7,7",Los demás días ,96 votos,2017
Drama. Pobreza. Infancia,"7,7",Cafarnaúm ,3.065 votos,2018
Drama. Adopción,"7,7",Secretos y mentiras ,13.722 votos,1996
Intriga. Romance. Medicina,"7,7",Recuerda ,19.388 votos,1945
Ciencia ficción. Fantástico. Aventura espacial. Steampunk. Cine mudo. Orígenes del cine. Cortometraje,"7,7",Viaje a la luna (C),20.847 votos,1902
Documental. Drogas,"7,7",En el cuarto de Vanda ,524 votos,2000
Drama. Política,"7,7",Tempestad sobre Washington ,2.541 votos,1962
Drama. Vida rural. Años 20,"7,7",El manantial de las colinas ,2.026 votos,1986
Comedia. Drama. Comedia negra. Película de episodios,"7,7",Relatos salvajes ,60.063 votos,2014
Serie de TV. Comedia. Sátira. Política. Sitcom,"7,7","Sí, ministro (Serie de TV)",916 votos,1980
Comedia. Drama. Crimen. Drama carcelario. Película de culto. Cine independiente USA,"7,7",Down by Law (Bajo el peso de la ley) ,11.516 votos,1986
Cine negro. Thriller. Crimen. Neo-noir. Policíaco,"7,7",El silencio de un hombre (El samurái) ,6.569 votos,1967
Drama. Drama judicial. Años 20. Enseñanza. Religión. Basado en hechos reales,"7,7",La herencia del viento ,3.270 votos,1960
Drama. Romance. Comedia. Película de episodios. Drama romántico,"7,7",El placer ,1.695 votos,1952
Comedia. Sátira. Comedia sofisticada. Secuela. Arquitectura,"7,7",Mi tío ,8.720 votos,1958
Drama. Comedia. Drama psicológico. Comedia negra. Crimen. Asesinos en serie,"7,7",Ensayo de un crimen ,4.467 votos,1955
Drama. Pobreza. Discapacidad. Drama social. Infancia,"7,7",Las tortugas también vuelan ,17.598 votos,2004
Comedia. Comedia negra. Asesinos en serie. Venganza. Familia,"7,7",Ocho sentencias de muerte ,3.925 votos,1949
Drama. Biográfico. Enseñanza. Discapacidad. Discapacidad auditiva,"7,7",El milagro de Ana Sullivan ,4.852 votos,1962
Comedia. ,"7,7",Desmontando a Harry ,32.998 votos,1997
Cine negro. Thriller. Drama. Policíaco. Crimen,"7,7",Ascensor para el cadalso ,4.950 votos,1958
Drama. Infancia. Familia. Drama social. Basado en hechos reales,"7,7",Nadie sabe ,6.071 votos,2004
