Description,Rate,Titles,Year
Documental. Documental sobre cine. Orígenes del cine. Cine mudo. Siglo XIX. Años 1900 (circa),"7,8",¡Lumière! Comienza la aventura ,2016
Intriga. Comedia. Romance. Thriller. ,"7,8",Charada ,1963
Drama. Historias cruzadas. Drama social,"7,7",Amores Perros ,2000
Drama. Romance. Años 1900 (circa). Crimen. Celos. Amistad. Melodrama. Basado en hechos reales,"7,7","París, bajos fondos ",1952
Drama. Drama social. Adolescencia. Vida rural. Drama psicológico,"7,7",Mouchette ,1967
Drama. Teatro. Drama psicológico. Cine independiente USA,"7,7",Opening Night (Noche de estreno) ,1977
Drama. Religión. Pobreza. Sátira,"7,7",Nazarín ,1959
Drama. Comedia. Alzheimer. Vejez. Familia. Bodas. Discapacidad,"7,7",El hijo de la novia ,2001
Romance. Drama. Drama psicológico. Drama romántico,"7,7",Gertrud ,1964
Drama. Familia. Drama psicológico. Cine independiente USA,"7,7",Una mujer bajo la influencia ,1974
Drama. Romance. Aventuras. Aviones. Amistad,"7,7",Sólo los ángeles tienen alas ,1939
Drama. Siglo XIX. Vida rural,"7,7",El árbol de los zuecos ,1978
Comedia. Comedia sofisticada. Comedia romántica. Robos & Atracos,"7,7",Un ladrón en la alcoba ,1932
Drama. Neorrealismo,"7,7",Los inútiles ,1953
Drama. Neorrealismo,"7,7",Europa '51 ,1952
Thriller. Drama. II Guerra Mundial. Nazismo. Propaganda. Basado en hechos reales,"7,7",Los verdugos también mueren ,1943
Bélico. Drama. Adolescencia. II Guerra Mundial. Nazismo,"7,7",El puente ,1959
Drama. Intriga. Thriller. Road Movie. Familia. Guerra de Líbano,"7,7",Incendies ,2010
Drama. Abusos sexuales,"7,7",La caza ,2012
Drama. Comedia. Comedia dramática. Cine dentro del cine,"7,7",La noche americana ,1973
Drama. Familia. Enfermedad. Vejez. Alzheimer,"7,7","Nader y Simin, una separación ",2011
Comedia. Romance. Gran Depresión. Comedia romántica. Comedia sofisticada,"7,7",Al servicio de las damas ,1936
Drama. Road Movie. Amistad,"7,7",Alicia en las ciudades ,1974
Drama. Adopción,"7,7",Secretos y mentiras ,1996
Intriga. Romance. Medicina,"7,7",Recuerda ,1945
Ciencia ficción. Fantástico. Aventura espacial. Steampunk. Cine mudo. Orígenes del cine. Cortometraje,"7,7",Viaje a la luna (C),1902
Drama. Política,"7,7",Tempestad sobre Washington ,1962
Drama. Vida rural. Años 20,"7,7",El manantial de las colinas ,1986
Documental. Drogas,"7,7",En el cuarto de Vanda ,2000
Comedia. Drama. Comedia negra. Película de episodios,"7,7",Relatos salvajes ,2014
Comedia. Drama. Crimen. Drama carcelario. Película de culto. Cine independiente USA,"7,7",Down by Law (Bajo el peso de la ley) ,1986
Animación. Drama. Bélico. Holocausto nuclear. Supervivencia. Vejez. Animación para adultos. Cómic,"7,7",Cuando el viento sopla ,1986
Cine negro. Thriller. Crimen. Neo-noir. Policíaco,"7,7",El silencio de un hombre (El samurái) ,1967
Serie de TV. Comedia. Sátira. Política. Sitcom,"7,7","Sí, ministro (Serie de TV)",1980
Documental. Documental sobre cine. Biográfico. Transexualidad / transgénero,"7,7",Quebranto ,2013
Drama. Drama judicial. Años 20. Enseñanza. Religión. Basado en hechos reales,"7,7",La herencia del viento ,1960
Drama. Comedia. Drama psicológico. Comedia negra. Crimen. Asesinos en serie,"7,7",Ensayo de un crimen ,1955
Drama. Romance. Comedia. Película de episodios. Drama romántico,"7,7",El placer ,1952
Comedia. Sátira. Comedia sofisticada. Secuela. Arquitectura,"7,7",Mi tío ,1958
Drama. Pobreza. Discapacidad. Drama social. Infancia,"7,7",Las tortugas también vuelan ,2004
Comedia. Comedia negra. Asesinos en serie. Venganza. Familia,"7,7",Ocho sentencias de muerte ,1949
Cine negro. Thriller. Drama. Policíaco. Crimen,"7,7",Ascensor para el cadalso ,1958
Drama. Infancia. Familia. Drama social. Basado en hechos reales,"7,7",Nadie sabe ,2004
Drama. Romance. Drama romántico. I Guerra Mundial. Cine mudo. Discapacidad,"7,7",Estrellas dichosas ,1929
Drama. Biográfico. Enseñanza. Discapacidad. Discapacidad auditiva,"7,7",El milagro de Ana Sullivan ,1962
